Title,Year,SAG Nominee,DGA Nominee,WGA Nominee,Critics Choice Nominee,Critics Choice Winner,NBR,NBR Winner,GG Nominee,GG Winner,BAFTA,BAFTA Noms,LAFCA,NYFCC,NSFC,Palme dOr,Golden Lion,Best Picture Nominee
Drive My Car,2021,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1
American Fiction,2023,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Barbie,2023,1,1,0,1,0,1,0,1,0,0,5,0,0,0,0,0,0
The Color Purple,2023,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Killers of the Flower Moon,2023,1,1,0,1,0,1,1,1,0,1,9,0,1,0,0,0,0
Oppenheimer,2023,1,1,0,1,1,1,0,1,1,1,13,0,0,0,0,0,0
Poor Things,2023,0,1,0,1,0,1,0,1,1,1,11,0,0,0,0,1,0
The Holdovers,2023,0,1,0,1,0,1,0,1,0,1,7,0,0,0,0,0,0
Maestro,2023,0,0,0,1,0,1,0,1,0,0,7,0,0,0,0,0,0
Past Lives,2023,0,0,0,1,0,1,0,1,0,0,3,0,0,1,0,0,0
Saltburn,2023,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0
The Boy and the Heron,2023,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Ferrari,2023,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
The Iron Claw,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Anatomy of a Fall,2023,0,0,0,0,0,0,0,1,0,1,7,0,0,0,1,0,0
The Zone of Interest,2023,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0
Air,2023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
May December,2023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
All of Us Strangers,2023,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Napoleon,2023,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
The Trial of the Chicago Seven,2020,1,1,1,1,0,0,0,1,0,1,3,0,0,0,0,0,1
Da 5 Bloods,2020,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
Ma Rainey's Black Bottom,2020,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0
Minari,2020,1,1,0,1,0,1,0,0,0,0,6,0,0,0,0,0,1
One Night in Miami…,2020,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Nomadland,2020,0,1,0,1,1,1,0,1,1,1,7,0,0,1,0,1,1
Promising Young Woman,2020,0,1,1,1,0,1,0,1,0,1,6,0,0,0,0,0,1
Mank,2020,0,1,0,1,0,0,0,1,0,0,6,0,0,0,0,0,1
Judas and the Black Messiah,2020,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1
Palm Springs,2020,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sound of Metal,2020,0,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,1
Borat Subsequent Moviefilm,2020,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
News of the World,2020,0,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0
The White Tiger,2020,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
First Cow,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Fourty Year Old Version,2020,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Midnight Sky,2020,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Soul,2020,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
The Father,2020,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1
Hamilton,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Music,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Prom,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Mauritanian,2020,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0
Rocks,2020,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
The Dig,2020,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Another Round,2020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
